Team,big_seed,mean_score,need_to_win,final_score
Wisconsin,1,87.49621543327089,3,90.49621543327089
Illinois,4,78.49947202068502,3,81.49947202068502
Michigan State,2,98.9010989010989,3,101.9010989010989
Maryland,3,94.06017507714049,3,97.06017507714049
Michigan,9,80.70032075464266,3,81.95032075464266
Rutgers,8,71.27352868071561,2,73.02352868071561
Iowa,5,78.93104050058082,3,81.18104050058082
Purdue,10,79.26634437454798,1,81.51634437454798
Ohio State,7,89.65888219623015,3,90.90888219623015
Penn State,6,73.5140395296055,3,75.7640395296055
Indiana,11,65.61864821221026,1,67.86864821221026
Northwestern,13,19.038671483511887,4,19.038671483511887
Minnesota,12,63.265392669743946,2,65.01539266974395
Nebraska,14,1.098901098901099,4,1.098901098901099
